rank;time_from_s;time_to_s;freq_from_hz;freq_to_hz;energy
1;3.400;3.500;1300.0;1350.0;0.7658106685
2;5.000;5.100;1300.0;1350.0;0.5152841210
3;2.900;3.000;1300.0;1350.0;0.4793774486
4;3.200;3.300;1300.0;1350.0;0.4590816796
5;3.100;3.200;1300.0;1350.0;0.3630616367
6;4.200;4.300;1300.0;1350.0;0.3392242193
7;5.600;5.700;1300.0;1350.0;0.3129449487
8;8.100;8.200;1300.0;1350.0;0.2636287212
9;3.500;3.600;1300.0;1350.0;0.2620562911
10;3.300;3.400;1300.0;1350.0;0.2590862811
11;3.000;3.100;1300.0;1350.0;0.2563464344
12;3.600;3.700;1300.0;1350.0;0.2501057386
13;6.800;6.900;1300.0;1350.0;0.2450128645
14;7.600;7.700;1300.0;1350.0;0.2431415021
15;7.700;7.800;1300.0;1350.0;0.2354600281
16;8.700;8.800;1300.0;1350.0;0.2255779505
17;8.400;8.500;1300.0;1350.0;0.2254710048
18;8.300;8.400;1300.0;1350.0;0.1911619902
19;4.300;4.400;1300.0;1350.0;0.1845978796
20;7.200;7.300;1300.0;1350.0;0.1712013483
