rank;time_from_s;time_to_s;freq_from_hz;freq_to_hz;energy
1;3.400;3.500;1300.0;1350.0;0.7656359076
2;5.000;5.100;1300.0;1350.0;0.5151389241
3;2.900;3.000;1300.0;1350.0;0.4792445898
4;3.200;3.300;1300.0;1350.0;0.4589440227
5;3.100;3.200;1300.0;1350.0;0.3629472256
6;4.200;4.300;1300.0;1350.0;0.3391062915
7;5.600;5.700;1300.0;1350.0;0.3128474355
8;8.100;8.200;1300.0;1350.0;0.2635364830
9;3.500;3.600;1300.0;1350.0;0.2619521022
10;3.300;3.400;1300.0;1350.0;0.2589902282
11;3.000;3.100;1300.0;1350.0;0.2562471628
12;3.600;3.700;1300.0;1350.0;0.2500070930
13;6.800;6.900;1300.0;1350.0;0.2449140400
14;7.600;7.700;1300.0;1350.0;0.2430490702
15;7.700;7.800;1300.0;1350.0;0.2353762686
16;8.700;8.800;1300.0;1350.0;0.2254983336
17;8.400;8.500;1300.0;1350.0;0.2253789902
18;8.300;8.400;1300.0;1350.0;0.1910803765
19;4.300;4.400;1300.0;1350.0;0.1845244616
20;7.200;7.300;1300.0;1350.0;0.1711234599
